Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ7608anchitheriumclarenci_bonej.tif,5,1,9.734,119.905,133.974,1.8,119.905,133.974,-0.366,1.608,2.274,5.808,10.207,0.207,4.488,3.613,7.041,3.202,4.407,0.415,12.795,2.886,2.724,0.44,2.81,4.381,10.201,5.813,4.486,3.6,2.274,1.615,3.344,4.392
MCZ7608anchitheriumclarenci_bonej.tif,5,2,69.12,122.313,133.195,1.8,122.313,133.195,-0.194,3.836,8.974,204.206,1361.93,0.428,151.763,53.233,169.089,7.259,11.26,0.412,30.964,3,2.157,0.627,2.81,4.381,1340.187,225.949,152.179,51.707,8.807,4.37,7.307,11.223
MCZ7608anchitheriumclarenci_bonej.tif,5,3,133.767,124.79,132.43,1.8,124.79,132.43,-0.271,6.024,16.116,872.192,5296.558,1.595,328.66,144.79,381.371,10.04,17.949,2.901,54.45,3.976,2.267,1.214,2.81,4.381,5280.221,888.529,326.542,139.902,16.17,6.351,11.775,17.378
MCZ7608anchitheriumclarenci_bonej.tif,5,4,209.062,127.222,131.521,1.8,127.222,131.521,-0.32,7.664,15.859,1995.344,12644.446,3.442,797.317,260.358,923.076,12.987,28.339,0.497,82.557,3.613,1.502,1.083,2.81,4.381,12642.94,1996.849,797.174,259.491,15.86,7.695,14.026,28.091
MCZ7608anchitheriumclarenci_bonej.tif,5,5,251.513,127.823,131.332,1.8,127.823,131.332,-0.325,8.676,15.824,3393.458,16158.967,4.277,1021.167,391.117,1230.739,15.101,29.364,0.069,107.088,3.558,1.327,0.998,2.81,4.381,16158.429,3393.995,1021.747,390.679,15.815,8.687,15.82,28.633
MCZ7608anchitheriumclarenci_bonej.tif,5,6,280.475,128.249,131.198,1.8,128.249,131.198,-0.328,9.459,15.493,4874.563,18458.309,4.854,1191.403,515.327,1476.958,16.732,30.017,3.114,113.838,3.226,1.267,0.978,2.81,4.381,18458.144,4874.728,1191.497,515.086,15.492,9.464,17.173,28.772
MCZ7608anchitheriumclarenci_bonej.tif,5,7,301.56,128.615,131.092,1.8,128.615,131.092,-0.325,10.076,15.253,6336.96,20198.072,5.135,1324.234,628.918,1685.959,18.073,30.495,3.048,132.833,3.526,1.278,1.049,2.81,4.381,20197.533,6337.5,1325.98,628.574,15.232,10.082,18.322,28.909
MCZ7608anchitheriumclarenci_bonej.tif,5,8,317.975,128.858,131.054,1.8,128.858,131.054,-0.331,10.6,14.872,7722.682,21514.632,5.599,1446.625,728.534,1856.211,19.156,30.863,3.011,161.083,4.039,1.292,1.109,2.81,4.381,21514.628,7722.686,1446.847,728.512,14.87,10.601,19.269,28.842
MCZ7608anchitheriumclarenci_bonej.tif,5,9,328.089,129.01,131.031,1.8,129.01,131.031,-0.339,10.99,14.711,8985.344,21821.321,6.039,1483.377,817.6,1941.643,19.973,31.119,2.981,157.711,4.296,1.307,1.187,2.81,4.381,21820.66,8986.004,1479.716,817.911,14.747,10.987,19.973,28.636
MCZ7608anchitheriumclarenci_bonej.tif,5,10,336.261,129.087,131.019,1.8,129.087,131.019,-0.35,11.424,14.506,10026.369,21727.309,6.59,1497.82,877.645,2004.397,20.797,31.146,2.954,144.188,3.861,1.236,1.11,2.81,4.381,21723.333,10030.345,1488.206,878.24,14.597,11.421,20.797,28.495
MCZ7608anchitheriumclarenci_bonej.tif,5,11,338.118,129.138,131.031,1.8,129.138,131.031,-0.359,11.701,14.236,10931.974,21495.712,6.951,1509.924,934.289,2055.629,21.362,31.17,2.931,156.139,3.705,1.193,1.037,2.81,4.381,21487.848,10939.838,1492.808,935.446,14.394,11.695,21.45,28.131
MCZ7608anchitheriumclarenci_bonej.tif,5,12,341.817,129.182,131.02,1.8,129.182,131.02,-0.366,11.985,14.008,11806.6,21437.791,7.307,1530.38,985.151,2117.027,21.844,31.125,2.887,180.445,3.502,1.136,0.987,2.81,4.381,21426.212,11818.179,1514.961,985.835,14.143,11.988,22.08,27.826
MCZ7608anchitheriumclarenci_bonej.tif,5,13,339.004,129.132,130.993,1.8,129.132,130.993,-0.371,12.224,13.871,12420.248,20966.688,7.434,1511.523,1016.083,2140.687,22.193,30.874,2.921,97.36,3.12,1.061,0.918,2.81,4.381,20953.288,12433.648,1493.334,1017.48,14.031,12.22,22.466,27.636
